矫档,铰牢老磊,捞侩扒荐_傈眉,捞侩陛咀_傈眉,捞侩扒荐_俺牢,捞侩陛咀_俺牢,捞侩扒荐_过牢,捞侩陛咀_过牢
力林,20230101,190.0,6227.0,179.0,5652.0,11.0,575.0
力林,20230102,231.0,8501.0,211.0,7151.0,20.0,1350.0
力林,20230103,231.0,8435.0,211.0,7049.0,21.0,1386.0
力林,20230104,234.0,8611.0,213.0,7190.0,21.0,1420.0
力林,20230105,230.0,8725.0,209.0,7330.0,21.0,1395.0
力林,20230106,234.0,8999.0,213.0,7440.0,21.0,1559.0
力林,20230107,221.0,8046.0,205.0,7135.0,16.0,911.0
力林,20230108,197.0,6622.0,184.0,5923.0,13.0,698.0
力林,20230109,231.0,8712.0,210.0,7269.0,21.0,1444.0
力林,20230110,232.0,8839.0,211.0,7363.0,21.0,1476.0
力林,20230111,237.0,8931.0,215.0,7306.0,22.0,1625.0
力林,20230112,228.0,8769.0,207.0,7125.0,21.0,1644.0
力林,20230113,219.0,8393.0,199.0,6807.0,20.0,1585.0
力林,20230114,226.0,8366.0,210.0,7372.0,16.0,994.0
力林,20230115,189.0,6700.0,176.0,5963.0,13.0,737.0
力林,20230116,229.0,9883.0,208.0,8011.0,21.0,1872.0
力林,20230117,228.0,10064.0,207.0,8177.0,21.0,1887.0
力林,20230118,234.0,10687.0,212.0,8633.0,22.0,2053.0
力林,20230119,245.0,11565.0,222.0,9458.0,22.0,2107.0
力林,20230120,271.0,13602.0,249.0,11290.0,22.0,2312.0
力林,20230121,231.0,8759.0,217.0,7947.0,14.0,812.0
力林,20230122,114.0,3041.0,108.0,2793.0,6.0,248.0
力林,20230123,175.0,5773.0,165.0,5288.0,10.0,485.0
力林,20230124,118.0,3681.0,110.0,3370.0,7.0,310.0
力林,20230125,199.0,7479.0,184.0,6445.0,15.0,1034.0
力林,20230126,225.0,9007.0,205.0,7391.0,20.0,1616.0
力林,20230127,201.0,8016.0,183.0,6612.0,18.0,1403.0
力林,20230128,186.0,6393.0,174.0,5676.0,13.0,716.0
力林,20230129,187.0,6223.0,175.0,5584.0,12.0,639.0
力林,20230130,235.0,9542.0,213.0,7623.0,22.0,1919.0
